Row,Filename,topic_tag,Set
0,FF1output_id8_delay-1.5.mp4,ファイター,Set299
1,FF1output_id8_delay-1.25.mp4,ファイター,Set1030
2,FF1output_id8_delay-1.0.mp4,ファイター,Set726
3,FF1output_id8_delay-0.75.mp4,ファイター,Set261
4,FF1output_id8_delay-0.5.mp4,ファイター,Set232
5,FF1output_id8_delay0.0.mp4,ファイター,Set677
6,FF1output_id8_delay0.5.mp4,ファイター,Set1036
7,FF1output_id8_delay0.75.mp4,ファイター,Set1007
8,FF1output_id8_delay1.0.mp4,ファイター,Set50
9,FF1output_id8_delay1.25.mp4,ファイター,Set60
10,FF1output_id8_delay1.5.mp4,ファイター,Set103
11,FF1output_id8_delay1.75.mp4,ファイター,Set928
12,FF1output_id8_delay-1.5.mp4,ファイター,Set137
13,FF1output_id8_delay-1.25.mp4,ファイター,Set289
14,FF1output_id8_delay-1.0.mp4,ファイター,Set1015
15,FF1output_id8_delay-0.75.mp4,ファイター,Set644
16,FF1output_id8_delay-0.5.mp4,ファイター,Set462
17,FF1output_id8_delay0.0.mp4,ファイター,Set415
18,FF1output_id8_delay0.5.mp4,ファイター,Set611
19,FF1output_id8_delay0.75.mp4,ファイター,Set275
20,FF1output_id8_delay1.0.mp4,ファイター,Set1017
21,FF1output_id8_delay1.25.mp4,ファイター,Set526
22,FF1output_id8_delay1.5.mp4,ファイター,Set696
23,FF1output_id8_delay1.75.mp4,ファイター,Set521
24,FF1output_id8_delay-1.5.mp4,ファイター,Set988
25,FF1output_id8_delay-1.25.mp4,ファイター,Set636
26,FF1output_id8_delay-1.0.mp4,ファイター,Set186
27,FF1output_id8_delay-0.75.mp4,ファイター,Set719
28,FF1output_id8_delay-0.5.mp4,ファイター,Set619
29,FF1output_id8_delay0.0.mp4,ファイター,Set490
30,FF1output_id8_delay0.5.mp4,ファイター,Set665
31,FF1output_id8_delay0.75.mp4,ファイター,Set816
32,FF1output_id8_delay1.0.mp4,ファイター,Set912
33,FF1output_id8_delay1.25.mp4,ファイター,Set895
34,FF1output_id8_delay1.5.mp4,ファイター,Set998
35,FF1output_id8_delay1.75.mp4,ファイター,Set555
36,FF1output_id8_delay-1.5.mp4,ファイター,Set802
37,FF1output_id8_delay-1.25.mp4,ファイター,Set953
38,FF1output_id8_delay-1.0.mp4,ファイター,Set230
39,FF1output_id8_delay-0.75.mp4,ファイター,Set659
40,FF1output_id8_delay-0.5.mp4,ファイター,Set455
41,FF1output_id8_delay0.0.mp4,ファイター,Set505
42,FF1output_id8_delay0.5.mp4,ファイター,Set326
43,FF1output_id8_delay0.75.mp4,ファイター,Set346
44,FF1output_id8_delay1.0.mp4,ファイター,Set807
45,FF1output_id8_delay1.25.mp4,ファイター,Set813
46,FF1output_id8_delay1.5.mp4,ファイター,Set774
47,FF1output_id8_delay1.75.mp4,ファイター,Set394
48,FF1output_id8_delay-1.5.mp4,ファイター,Set49
49,FF1output_id8_delay-1.25.mp4,ファイター,Set92
50,FF1output_id8_delay-1.0.mp4,ファイター,Set168
51,FF1output_id8_delay-0.75.mp4,ファイター,Set742
52,FF1output_id8_delay-0.5.mp4,ファイター,Set589
53,FF1output_id8_delay0.0.mp4,ファイター,Set540
54,FF1output_id8_delay0.5.mp4,ファイター,Set272
55,FF1output_id8_delay0.75.mp4,ファイター,Set582
