Row,Filename,topic_tag,Set
18432,MF24output_id15_delay-1.5.mp4,対戦風景,Set1
12576,FF2output_id34_delay-1.5.mp4,対戦結果,Set1
16261,MM2output_id9_delay-1.25.mp4,アイテム,Set1
22297,MF22output_id3_delay-1.25.mp4,ファイター,Set1
21326,FF3output_id14_delay-1.0.mp4,アイテム,Set1
13670,MF13output_id24_delay-1.0.mp4,対戦風景,Set1
24843,MM4output_id27_delay-0.75.mp4,対戦風景,Set1
21891,FF3output_id23_delay-0.75.mp4,アイテム,Set1
9196,MF23output_id18_delay-0.5.mp4,対戦風景,Set1
18844,MF24output_id22_delay-0.5.mp4,アイテム,Set1
21725,FF3output_id21_delay0.0.mp4,対戦風景,Set1
14333,MF21output_id4_delay0.0.mp4,対戦風景,Set1
15006,MF21output_id16_delay0.5.mp4,対戦風景,Set1
8394,MF23output_id4_delay0.5.mp4,ファイター,Set1
22879,MF22output_id13_delay0.75.mp4,アイテム,Set1
20359,MM1output_id24_delay0.75.mp4,対戦風景,Set1
19880,MM1output_id16_delay1.0.mp4,対戦風景,Set1
17888,MF24output_id6_delay1.0.mp4,ファイター,Set1
24129,MM4output_id15_delay1.25.mp4,対戦風景,Set1
453,FF1output_id16_delay1.25.mp4,アイテム,Set1
6694,MF12output_id28_delay1.5.mp4,対戦風景,Set1
4594,FF4output_id23_delay1.5.mp4,アイテム,Set1
3347,MM3output_id24_delay1.75.mp4,対戦風景,Set1
21791,FF3output_id22_delay1.75.mp4,対戦風景,Set1
1572,FF1output_id35_delay-1.5.mp4,対戦風景,Set2
7116,MF11output_id5_delay-1.5.mp4,ファイター,Set2
4861,FF4output_id28_delay-1.25.mp4,アイテム,Set2
7369,MF11output_id9_delay-1.25.mp4,対戦風景,Set2
12830,MF13output_id6_delay-1.0.mp4,ファイター,Set2
24146,MM4output_id15_delay-1.0.mp4,対戦風景,Set2
1395,FF1output_id32_delay-0.75.mp4,対戦風景,Set2
9651,MF23output_id25_delay-0.75.mp4,対戦風景,Set2
2464,MM3output_id8_delay-0.5.mp4,アイテム,Set2
8608,MF23output_id8_delay-0.5.mp4,ファイター,Set2
5129,FF4output_id32_delay0.0.mp4,対戦結果,Set2
8309,MF23output_id3_delay0.0.mp4,ファイター,Set2
14742,MF21output_id11_delay0.5.mp4,アイテム,Set2
22338,MF22output_id4_delay0.5.mp4,アイテム,Set2
22267,MF22output_id3_delay0.75.mp4,ファイター,Set2
7747,MF11output_id16_delay0.75.mp4,ファイター,Set2
4100,FF4output_id15_delay1.0.mp4,ファイター,Set2
16664,MM2output_id15_delay1.0.mp4,対戦風景,Set2
18429,MF24output_id15_delay1.25.mp4,対戦風景,Set2
20817,FF3output_id5_delay1.25.mp4,アイテム,Set2
11230,FF2output_id11_delay1.5.mp4,アイテム,Set2
10498,MF14output_id22_delay1.5.mp4,対戦風景,Set2
8315,MF23output_id3_delay1.75.mp4,ファイター,Set2
15023,MF21output_id16_delay1.75.mp4,対戦風景,Set2
13092,MF13output_id15_delay-1.5.mp4,アイテム,Set3
11892,FF2output_id23_delay-1.5.mp4,アイテム,Set3
5257,MF12output_id4_delay-1.25.mp4,ファイター,Set3
17881,MF24output_id6_delay-1.25.mp4,ファイター,Set3
14258,MF21output_id3_delay-1.0.mp4,対戦風景,Set3
9986,MF14output_id13_delay-1.0.mp4,対戦風景,Set3
24927,MM4output_id28_delay-0.75.mp4,対戦風景,Set3
22311,MF22output_id3_delay-0.75.mp4,ファイター,Set3
15664,MF21output_id27_delay-0.5.mp4,対戦結果,Set3
19240,MM1output_id5_delay-0.5.mp4,対戦風景,Set3
